sub_num,condition_timing,condition_stim,stim_id,cat,resp,rt,age,gender,date,prob_num,num_problems_solved,current_trial_prob,current_trial_stim,current_trial_exp,relevant_dim,x,y,xc
1,long_iti,binary,0,2,1,4.316016020410643,37,Female,2019-12-03,0,0,0,0,0,3,-1,-1,1.966231374767025
1,long_iti,binary,11,1,2,1.5470842271176934,37,Female,2019-12-03,0,0,1,1,1,3,-1,-1,1.966231374767025
1,long_iti,binary,50,2,1,2.612680846432795,37,Female,2019-12-03,0,0,2,2,2,3,-1,-1,1.966231374767025
1,long_iti,binary,24,1,1,1.4450743791535388,37,Female,2019-12-03,0,0,3,3,3,3,-1,-1,1.966231374767025
1,long_iti,binary,6,2,1,1.327284043218242,37,Female,2019-12-03,0,0,4,4,4,3,-1,-1,1.966231374767025
1,long_iti,binary,49,2,1,0.7265724372011846,37,Female,2019-12-03,0,0,5,5,5,3,-1,-1,1.966231374767025
1,long_iti,binary,13,1,2,1.2111651280897604,37,Female,2019-12-03,0,0,6,6,6,3,-1,-1,1.966231374767025
1,long_iti,binary,54,2,1,1.8877739556403412,37,Female,2019-12-03,0,0,7,7,7,3,-1,-1,1.966231374767025
1,long_iti,binary,52,2,2,2.019053764345017,37,Female,2019-12-03,0,0,8,8,8,3,-1,-1,1.966231374767025
1,long_iti,binary,16,2,1,0.8749708598943471,37,Female,2019-12-03,0,0,9,9,9,3,-1,-1,1.966231374767025
1,long_iti,binary,18,2,1,3.229919607318152,37,Female,2019-12-03,0,0,10,10,10,3,-1,-1,1.966231374767025
1,long_iti,binary,15,1,1,1.6185033023391497,37,Female,2019-12-03,0,0,11,11,11,3,-1,-1,1.966231374767025
1,long_iti,binary,56,1,1,1.6325384757606116,37,Female,2019-12-03,0,0,12,12,12,3,-1,-1,1.966231374767025
1,long_iti,binary,2,2,2,1.0230474274158041,37,Female,2019-12-03,0,0,13,13,13,3,-1,-1,1.966231374767025
1,long_iti,binary,43,1,1,1.0512290786409721,37,Female,2019-12-03,0,0,14,14,14,3,-1,-1,1.966231374767025
1,long_iti,binary,26,1,1,1.2601075200332161,37,Female,2019-12-03,0,0,15,15,15,3,-1,-1,1.966231374767025
1,long_iti,binary,46,1,1,1.048909309807641,37,Female,2019-12-03,0,0,16,16,16,3,-1,-1,1.966231374767025
1,long_iti,binary,63,1,1,0.6337983795317541,37,Female,2019-12-03,0,0,17,17,17,3,-1,-1,1.966231374767025
1,long_iti,binary,33,2,1,1.1959804277425974,37,Female,2019-12-03,0,0,18,18,18,3,-1,-1,1.966231374767025
1,long_iti,binary,36,2,2,1.5522787408010572,37,Female,2019-12-03,0,0,19,19,19,3,-1,-1,1.966231374767025
1,long_iti,binary,44,1,1,0.9409960010807481,37,Female,2019-12-03,0,0,20,20,20,3,-1,-1,1.966231374767025
1,delay,grating,60,2,1,1.9237336189321468,37,Female,2019-12-03,1,1,0,0,21,1,63.2703979465508,56.0,60.187646224009846
1,delay,grating,44,2,1,1.5865546161328439,37,Female,2019-12-03,1,1,1,1,22,1,62.9678298713922,56.0,60.187646224009846
1,delay,grating,27,2,2,0.682934935786534,37,Female,2019-12-03,1,1,2,2,23,1,63.33643583423719,56.0,60.187646224009846
1,delay,grating,19,1,2,1.922536169286559,37,Female,2019-12-03,1,1,3,3,24,1,56.53444018793043,56.0,60.187646224009846
1,delay,grating,41,1,1,1.2083447987151885,37,Female,2019-12-03,1,1,4,4,25,1,50.98347845420685,56.0,60.187646224009846
1,delay,grating,24,1,1,0.902983699473225,37,Female,2019-12-03,1,1,5,5,26,1,57.36116084163242,56.0,60.187646224009846
1,delay,grating,47,1,1,0.6444582475619427,37,Female,2019-12-03,1,1,6,6,27,1,48.660281426282936,56.0,60.187646224009846
1,delay,grating,11,2,2,1.0942599711720504,37,Female,2019-12-03,1,1,7,7,28,1,63.88424517921394,56.0,60.187646224009846
1,delay,grating,51,2,2,0.8982226545228968,37,Female,2019-12-03,1,1,8,8,29,1,62.40054422581175,56.0,60.187646224009846
1,delay,grating,58,1,1,0.7031614154700492,37,Female,2019-12-03,1,1,9,9,30,1,49.754552295359446,56.0,60.187646224009846
1,delay,grating,32,1,1,0.9999996908211415,37,Female,2019-12-03,1,1,10,10,31,1,57.09680614885058,56.0,60.187646224009846
1,delay,grating,12,1,1,0.6957265919154452,37,Female,2019-12-03,1,1,11,11,32,1,48.31348973034632,56.0,60.187646224009846
1,long_iti,grating,48,2,1,0.922014275405445,37,Female,2019-12-03,2,2,0,0,33,6,29.503356919410816,24.0,24.15076637974386
1,long_iti,grating,36,1,2,0.9353599800147094,37,Female,2019-12-03,2,2,1,1,34,6,21.802186264532533,24.0,24.15076637974386
1,long_iti,grating,2,2,1,0.4379144155868744,37,Female,2019-12-03,2,2,2,2,35,6,31.710078653058652,24.0,24.15076637974386
1,long_iti,grating,6,2,2,2.4243102374678074,37,Female,2019-12-03,2,2,3,3,36,6,30.402905554580524,24.0,24.15076637974386
1,long_iti,grating,52,1,1,0.874777932298457,37,Female,2019-12-03,2,2,4,4,37,6,20.477948419706976,24.0,24.15076637974386
1,long_iti,grating,39,1,2,2.1987376846338975,37,Female,2019-12-03,2,2,5,5,38,6,19.55687120501411,24.0,24.15076637974386
1,long_iti,grating,44,2,2,1.101000688232034,37,Female,2019-12-03,2,2,6,6,39,6,31.43384278993358,24.0,24.15076637974386
1,long_iti,grating,18,1,1,0.6231780863931817,37,Female,2019-12-03,2,2,7,7,40,6,20.91861388004326,24.0,24.15076637974386
1,long_iti,grating,27,1,1,1.3661802871281452,37,Female,2019-12-03,2,2,8,8,41,6,19.195480844205132,24.0,24.15076637974386
1,long_iti,grating,20,1,1,0.7338498887265814,37,Female,2019-12-03,2,2,9,9,42,6,20.759687570072593,24.0,24.15076637974386
1,long_iti,grating,24,1,1,0.5191650687272613,37,Female,2019-12-03,2,2,10,10,43,6,18.810947588819708,24.0,24.15076637974386
1,long_iti,grating,56,1,1,0.693948813588122,37,Female,2019-12-03,2,2,11,11,44,6,16.165921690107027,24.0,24.15076637974386
1,long_iti,grating,17,2,2,0.990462760336186,37,Female,2019-12-03,2,2,12,12,45,6,27.77609548959561,24.0,24.15076637974386
1,delay,binary,27,2,1,1.132020910383062,37,Female,2019-12-03,3,3,0,0,46,4,-1,-1,24.15076637974386
1,delay,binary,61,1,2,1.565335981553062,37,Female,2019-12-03,3,3,1,1,47,4,-1,-1,24.15076637974386
1,delay,binary,2,2,1,1.6267095270986829,37,Female,2019-12-03,3,3,2,2,48,4,-1,-1,24.15076637974386
1,delay,binary,23,1,2,3.4337371002857253,37,Female,2019-12-03,3,3,3,3,49,4,-1,-1,24.15076637974386
1,delay,binary,22,1,2,2.644109803009769,37,Female,2019-12-03,3,3,4,4,50,4,-1,-1,24.15076637974386
1,delay,binary,26,2,2,4.026061611922614,37,Female,2019-12-03,3,3,5,5,51,4,-1,-1,24.15076637974386
1,delay,binary,18,2,1,3.7391257164447325,37,Female,2019-12-03,3,3,6,6,52,4,-1,-1,24.15076637974386
1,delay,binary,43,2,1,5.452327405550477,37,Female,2019-12-03,3,3,7,7,53,4,-1,-1,24.15076637974386
1,delay,binary,55,1,1,7.422339222365736,37,Female,2019-12-03,3,3,8,8,54,4,-1,-1,24.15076637974386
1,delay,binary,59,2,1,1.6268937976869893,37,Female,2019-12-03,3,3,9,9,55,4,-1,-1,24.15076637974386
1,delay,binary,30,1,1,1.908486155280798,37,Female,2019-12-03,3,3,10,10,56,4,-1,-1,24.15076637974386
1,delay,binary,7,1,2,1.5777297245153932,37,Female,2019-12-03,3,3,11,11,57,4,-1,-1,24.15076637974386
1,delay,binary,36,1,1,2.013338902674832,37,Female,2019-12-03,3,3,12,12,58,4,-1,-1,24.15076637974386
1,delay,binary,45,1,1,1.2369701215752684,37,Female,2019-12-03,3,3,13,13,59,4,-1,-1,24.15076637974386
1,delay,binary,33,2,2,5.306339650269138,37,Female,2019-12-03,3,3,14,14,60,4,-1,-1,24.15076637974386
1,delay,binary,48,2,2,2.1199375829758083,37,Female,2019-12-03,3,3,15,15,61,4,-1,-1,24.15076637974386
1,delay,binary,9,2,2,1.8845136647771596,37,Female,2019-12-03,3,3,16,16,62,4,-1,-1,24.15076637974386
1,delay,binary,47,1,1,0.9128567073566956,37,Female,2019-12-03,3,3,17,17,63,4,-1,-1,24.15076637974386
1,delay,binary,37,1,1,0.8622824694978135,37,Female,2019-12-03,3,3,18,18,64,4,-1,-1,24.15076637974386
1,delay,binary,54,1,1,0.7468585884007553,37,Female,2019-12-03,3,3,19,19,65,4,-1,-1,24.15076637974386
1,delay,binary,14,1,1,0.8360174178992565,37,Female,2019-12-03,3,3,20,20,66,4,-1,-1,24.15076637974386
1,delay,binary,3,2,2,0.623644328083401,37,Female,2019-12-03,3,3,21,21,67,4,-1,-1,24.15076637974386
1,long_iti,grating,42,1,1,1.5970373246880172,37,Female,2019-12-03,4,4,0,0,68,5,41.547225053129154,40.0,33.55121557927968
1,long_iti,grating,27,2,2,0.7149145398770997,37,Female,2019-12-03,4,4,1,1,69,5,31.997308739951404,40.0,33.55121557927968
1,long_iti,grating,16,1,1,0.9959312064713686,37,Female,2019-12-03,4,4,2,2,70,5,45.523825745527986,40.0,33.55121557927968
1,long_iti,grating,5,2,2,0.9317914378486876,37,Female,2019-12-03,4,4,3,3,71,5,31.983678770002424,40.0,33.55121557927968
1,long_iti,grating,6,2,2,1.6020181957931072,37,Female,2019-12-03,4,4,4,4,72,5,31.9565265606036,40.0,33.55121557927968
1,long_iti,grating,17,1,1,1.743369814375228,37,Female,2019-12-03,4,4,5,5,73,5,35.54295430393576,40.0,33.55121557927968
1,long_iti,grating,48,1,1,0.8647939292118281,37,Female,2019-12-03,4,4,6,6,74,5,43.30462573126013,40.0,33.55121557927968
1,long_iti,grating,14,2,2,0.8338173012768948,37,Female,2019-12-03,4,4,7,7,75,5,31.9674339897077,40.0,33.55121557927968
1,long_iti,grating,38,2,2,1.2772236605908347,37,Female,2019-12-03,4,4,8,8,76,5,31.986979283734474,40.0,33.55121557927968
1,long_iti,grating,33,2,2,0.7012850090929987,37,Female,2019-12-03,4,4,9,9,77,5,31.9552396223828,40.0,33.55121557927968
1,long_iti,binary,7,2,1,1.1807304906606078,37,Female,2019-12-03,5,5,0,0,78,2,-1,-1,33.55121557927968
1,long_iti,binary,59,1,1,1.0727695683924594,37,Female,2019-12-03,5,5,1,1,79,2,-1,-1,33.55121557927968
1,long_iti,binary,17,1,2,1.537394871465267,37,Female,2019-12-03,5,5,2,2,80,2,-1,-1,33.55121557927968
1,long_iti,binary,6,2,2,1.3741156712242173,37,Female,2019-12-03,5,5,3,3,81,2,-1,-1,33.55121557927968
1,long_iti,binary,42,2,1,0.9346736029908698,37,Female,2019-12-03,5,5,4,4,82,2,-1,-1,33.55121557927968
1,long_iti,binary,55,1,2,1.3327883540987386,37,Female,2019-12-03,5,5,5,5,83,2,-1,-1,33.55121557927968
1,long_iti,binary,58,1,1,1.3344276203060872,37,Female,2019-12-03,5,5,6,6,84,2,-1,-1,33.55121557927968
1,long_iti,binary,22,1,1,1.3901929708808893,37,Female,2019-12-03,5,5,7,7,85,2,-1,-1,33.55121557927968
1,long_iti,binary,34,2,1,0.7750071574901085,37,Female,2019-12-03,5,5,8,8,86,2,-1,-1,33.55121557927968
1,long_iti,binary,26,1,1,0.81215994192371,37,Female,2019-12-03,5,5,9,9,87,2,-1,-1,33.55121557927968
1,long_iti,binary,56,1,1,0.8393395445300484,37,Female,2019-12-03,5,5,10,10,88,2,-1,-1,33.55121557927968
1,long_iti,binary,36,2,2,0.8989149059448209,37,Female,2019-12-03,5,5,11,11,89,2,-1,-1,33.55121557927968
1,long_iti,binary,37,2,1,1.3543183317699459,37,Female,2019-12-03,5,5,12,12,90,2,-1,-1,33.55121557927968
1,long_iti,binary,62,1,1,0.9141602053443876,37,Female,2019-12-03,5,5,13,13,91,2,-1,-1,33.55121557927968
1,long_iti,binary,4,2,2,1.6804336789748504,37,Female,2019-12-03,5,5,14,14,92,2,-1,-1,33.55121557927968
1,long_iti,binary,30,1,1,1.2475288881248616,37,Female,2019-12-03,5,5,15,15,93,2,-1,-1,33.55121557927968
1,long_iti,binary,48,1,2,1.2848186387846,37,Female,2019-12-03,5,5,16,16,94,2,-1,-1,33.55121557927968
1,long_iti,binary,13,2,1,1.5311791400747552,37,Female,2019-12-03,5,5,17,17,95,2,-1,-1,33.55121557927968
1,long_iti,binary,49,1,2,1.9277223351411976,37,Female,2019-12-03,5,5,18,18,96,2,-1,-1,33.55121557927968
1,long_iti,binary,27,1,1,4.061491342683212,37,Female,2019-12-03,5,5,19,19,97,2,-1,-1,33.55121557927968
1,long_iti,binary,23,1,2,2.470503411170057,37,Female,2019-12-03,5,5,20,20,98,2,-1,-1,33.55121557927968
1,long_iti,binary,46,2,2,4.713166751897006,37,Female,2019-12-03,5,5,21,21,99,2,-1,-1,33.55121557927968
1,long_iti,binary,31,1,1,0.7531120396095048,37,Female,2019-12-03,5,5,22,22,100,2,-1,-1,33.55121557927968
1,long_iti,binary,61,1,1,0.6350320031017418,37,Female,2019-12-03,5,5,23,23,101,2,-1,-1,33.55121557927968
1,long_iti,binary,29,1,1,0.8176580692274911,37,Female,2019-12-03,5,5,24,24,102,2,-1,-1,33.55121557927968
1,long_iti,binary,21,1,1,0.7808892849125186,37,Female,2019-12-03,5,5,25,25,103,2,-1,-1,33.55121557927968
1,long_iti,binary,50,1,1,0.813379652445974,37,Female,2019-12-03,5,5,26,26,104,2,-1,-1,33.55121557927968
1,long_iti,binary,47,2,2,0.8085870712541237,37,Female,2019-12-03,5,5,27,27,105,2,-1,-1,33.55121557927968
1,long_iti,binary,19,1,1,1.84316192252345,37,Female,2019-12-03,5,5,28,28,106,2,-1,-1,33.55121557927968
